"ESNG"	"Symbol"	"cds_length"
"ENSG00000004809"	"SLC22A16"	6086
"ENSG00000004838"	"ZMYND10"	6137
"ENSG00000004846"	"ABCB5"	9659
"ENSG00000004848"	"ARX"	3311
"ENSG00000004864"	"SLC25A13"	6446
"ENSG00000004866"	"ST7"	12925
"ENSG00000004897"	"CDC27"	11042
"ENSG00000004939"	"SLC4A1"	5544
"ENSG00000004948"	"CALCR"	7053
"ENSG00000004961"	"HCCS"	4278
"ENSG00000004975"	"DVL2"	10042
"ENSG00000005001"	"PRSS22"	4943
"ENSG00000005007"	"UPF1"	12408
"ENSG00000005020"	"SKAP2"	6226
"ENSG00000005022"	"SLC25A5"	2360
"ENSG00000005059"	"MCUB"	4790
"ENSG00000005073"	"HOXA11"	4801
"ENSG00000005075"	"POLR2J"	933
"ENSG00000005100"	"DHX33"	9186
"ENSG00000005102"	"MEOX1"	4851
"ENSG00000005108"	"THSD7A"	12694
"ENSG00000005156"	"LIG3"	17480
"ENSG00000005175"	"RPAP3"	6880
"ENSG00000005187"	"ACSM3"	10390
"ENSG00000005189"	"AC004381.6"	6913
"ENSG00000005194"	"CIAPIN1"	8596
"ENSG00000005206"	"SPPL2B"	12747
"ENSG00000005238"	"FAM214B"	13253
"ENSG00000005243"	"COPZ2"	3304
"ENSG00000005249"	"PRKAR2B"	4402
"ENSG00000005302"	"MSL3"	62088
"ENSG00000005339"	"CREBBP"	21075
"ENSG00000005379"	"TSPOAP1"	17444
"ENSG00000005381"	"MPO"	4816
"ENSG00000005421"	"PON1"	3675
"ENSG00000005436"	"GCFC2"	13045
"ENSG00000005448"	"WDR54"	7573
"ENSG00000005469"	"CROT"	6883
"ENSG00000005471"	"ABCB4"	10871
"ENSG00000005483"	"KMT2E"	22731
"ENSG00000005486"	"RHBDD2"	6733
"ENSG00000005513"	"SOX8"	7235
"ENSG00000005700"	"IBTK"	16228
"ENSG00000005801"	"ZNF195"	29091
"ENSG00000005810"	"MYCBP2"	21268
"ENSG00000005812"	"FBXL3"	8705
"ENSG00000005844"	"ITGAL"	21996
"ENSG00000005882"	"PDK2"	10344
"ENSG00000005884"	"ITGA3"	16666
"ENSG00000005889"	"ZFX"	18100
"ENSG00000005893"	"LAMP2"	11112
"ENSG00000005961"	"ITGA2B"	7455
"ENSG00000005981"	"ASB4"	5604
"ENSG00000006007"	"GDE1"	7460
"ENSG00000006015"	"C19orf60"	7768
"ENSG00000006016"	"CRLF1"	3736
"ENSG00000006025"	"OSBPL7"	13668
"ENSG00000006042"	"TMEM98"	7661
"ENSG00000006047"	"YBX2"	8213
"ENSG00000006059"	"KRT33A"	1296
"ENSG00000006062"	"MAP3K14"	12022
"ENSG00000006071"	"ABCC8"	58724
"ENSG00000006116"	"CACNG3"	1913
"ENSG00000006118"	"TMEM132A"	14580
"ENSG00000006125"	"AP2B1"	14274
"ENSG00000006128"	"TAC1"	3367
"ENSG00000006194"	"ZNF263"	12504
"ENSG00000006210"	"CX3CL1"	12947
"ENSG00000006282"	"SPATA20"	14839
"ENSG00000006283"	"CACNA1G"	18454
"ENSG00000006327"	"TNFRSF12A"	3305
"ENSG00000006377"	"DLX6"	4377
"ENSG00000006432"	"MAP3K9"	18412
"ENSG00000006451"	"RALA"	4738
"ENSG00000006453"	"BAIAP2L1"	5608
"ENSG00000006459"	"KDM7A"	16277
"ENSG00000006468"	"ETV1"	27649
"ENSG00000006530"	"AGK"	26064
"ENSG00000006534"	"ALDH3B1"	11995
"ENSG00000006555"	"TTC22"	8312
"ENSG00000006576"	"PHTF2"	17072
"ENSG00000006606"	"CCL26"	1057
"ENSG00000006607"	"FARP2"	19967
"ENSG00000006611"	"USH1C"	7563
"ENSG00000006625"	"GGCT"	5013
"ENSG00000006634"	"DBF4"	9081
"ENSG00000006638"	"TBXA2R"	5541
"ENSG00000006652"	"IFRD1"	17724
"ENSG00000006659"	"LGALS14"	1271
"ENSG00000006695"	"COX10"	11751
"ENSG00000006704"	"GTF2IRD1"	8476
"ENSG00000006712"	"PAF1"	4836
"ENSG00000006715"	"VPS41"	9698
"ENSG00000006740"	"ARHGAP44"	13808
"ENSG00000006744"	"ELAC2"	13934
"ENSG00000006747"	"SCIN"	14538
"ENSG00000006756"	"ARSD"	9745
"ENSG00000006757"	"PNPLA4"	5602
"ENSG00000006788"	"MYH13"	6420
"ENSG00000006831"	"ADIPOR2"	6649
"ENSG00000006837"	"CDKL3"	4476
"ENSG00000007001"	"UPP2"	4309
"ENSG00000007038"	"PRSS21"	4846
"ENSG00000007047"	"MARK4"	11293
"ENSG00000007062"	"PROM1"	15272
"ENSG00000007080"	"CCDC124"	2555
"ENSG00000007129"	"CEACAM21"	3804
"ENSG00000007168"	"PAFAH1B1"	31342
"ENSG00000007171"	"NOS2"	5306
"ENSG00000007174"	"DNAH9"	20717
"ENSG00000007202"	"KIAA0100"	13908
"ENSG00000007216"	"SLC13A2"	6083
"ENSG00000007237"	"GAS7"	23553
"ENSG00000007255"	"TRAPPC6A"	1770
"ENSG00000007264"	"MATK"	7836
"ENSG00000007306"	"CEACAM7"	4423
"ENSG00000007312"	"CD79B"	3451
"ENSG00000007314"	"SCN4A"	8766
"ENSG00000007341"	"ST7L"	18245
"ENSG00000007350"	"TKTL1"	4557
"ENSG00000007372"	"PAX6"	61885
"ENSG00000007376"	"RPUSD1"	8266
"ENSG00000007384"	"RHBDF1"	9769
"ENSG00000007392"	"LUC7L"	14287
"ENSG00000007402"	"CACNA2D2"	13745
"ENSG00000007516"	"BAIAP3"	11378
"ENSG00000007520"	"TSR3"	1480
"ENSG00000007541"	"PIGQ"	19773
"ENSG00000007545"	"CRAMP1"	14480
"ENSG00000007866"	"TEAD3"	3518
"ENSG00000007908"	"SELE"	6923
"ENSG00000007923"	"DNAJC11"	28994
"ENSG00000007933"	"FMO3"	4830
"ENSG00000007944"	"MYLIP"	3303
"ENSG00000007952"	"NOX1"	3917
"ENSG00000007968"	"E2F2"	5737
"ENSG00000008018"	"PSMB1"	2503
"ENSG00000008056"	"SYN1"	5695
"ENSG00000008083"	"JARID2"	8299
"ENSG00000008086"	"CDKL5"	21139
"ENSG00000008118"	"CAMK1G"	5541
"ENSG00000008128"	"CDK11A"	12195
"ENSG00000008130"	"NADK"	9518
"ENSG00000008196"	"TFAP2B"	6274
"ENSG00000008197"	"TFAP2D"	2257
"ENSG00000008226"	"DLEC1"	10120
"ENSG00000008256"	"CYTH3"	10893
"ENSG00000008277"	"ADAM22"	16522
"ENSG00000008282"	"SYPL1"	5018
"ENSG00000008283"	"CYB561"	17836
"ENSG00000008294"	"SPAG9"	19574
"ENSG00000008300"	"CELSR3"	17928
"ENSG00000008311"	"AASS"	34352
"ENSG00000008323"	"PLEKHG6"	6170
"ENSG00000008324"	"SS18L2"	4226
"ENSG00000008382"	"MPND"	3852
"ENSG00000008394"	"MGST1"	10546
"ENSG00000008405"	"CRY1"	7131
"ENSG00000008438"	"PGLYRP1"	705
"ENSG00000008441"	"NFIX"	13031
"ENSG00000008513"	"ST3GAL1"	20261
"ENSG00000008516"	"MMP25"	7644
"ENSG00000008517"	"IL32"	18043
"ENSG00000008710"	"PKD1"	37619
"ENSG00000008735"	"MAPK8IP2"	9327
"ENSG00000008838"	"MED24"	16125
"ENSG00000008853"	"RHOBTB2"	18568
"ENSG00000008869"	"HEATR5B"	9013
"ENSG00000008952"	"SEC62"	10063
"ENSG00000008988"	"RPS20"	19936
"ENSG00000009307"	"CSDE1"	29563
"ENSG00000009335"	"UBE3C"	12725
"ENSG00000009413"	"REV3L"	18012
"ENSG00000009694"	"TENM1"	18409
"ENSG00000009709"	"PAX7"	8154
"ENSG00000009724"	"MASP2"	4911
"ENSG00000009765"	"IYD"	18900
"ENSG00000009780"	"FAM76A"	7108
"ENSG00000009790"	"TRAF3IP3"	13663
"ENSG00000009830"	"POMT2"	46279
"ENSG00000009844"	"VTA1"	10721
"ENSG00000009950"	"MLXIPL"	9430
"ENSG00000009954"	"BAZ1B"	8260
"ENSG00000010017"	"RANBP9"	3914
"ENSG00000010030"	"ETV7"	4052
"ENSG00000010072"	"SPRTN"	9399
"ENSG00000010165"	"METTL13"	7425
"ENSG00000010219"	"DYRK4"	10927
"ENSG00000010244"	"ZNF207"	28169
"ENSG00000010256"	"UQCRC1"	5407
"ENSG00000010270"	"STARD3NL"	6786
"ENSG00000010278"	"CD9"	23372
"ENSG00000010282"	"HHATL"	5255
"ENSG00000010292"	"NCAPD2"	9242
"ENSG00000010295"	"IFFO1"	11864
"ENSG00000010310"	"GIPR"	8963
"ENSG00000010318"	"PHF7"	6634
"ENSG00000010319"	"SEMA3G"	5433
"ENSG00000010322"	"NISCH"	13131
"ENSG00000010327"	"STAB1"	14534
"ENSG00000010361"	"FUZ"	9612
"ENSG00000010379"	"SLC6A13"	6233
"ENSG00000010404"	"IDS"	10606
"ENSG00000010438"	"PRSS3"	2246
"ENSG00000010539"	"ZNF200"	17620
"ENSG00000010610"	"CD4"	8867
"ENSG00000010626"	"LRRC23"	6359
"ENSG00000010671"	"BTK"	6492
"ENSG00000010704"	"HFE"	11388
"ENSG00000010803"	"SCMH1"	7481
"ENSG00000010810"	"FYN"	14581
"ENSG00000010818"	"HIVEP2"	13240
"ENSG00000010932"	"FMO1"	7367
"ENSG00000011007"	"TCEB3"	11020
"ENSG00000011009"	"LYPLA2"	5398
"ENSG00000011021"	"CLCN6"	13455
"ENSG00000011028"	"MRC2"	11013
"ENSG00000011052"	"NME1-NME2"	1571
"ENSG00000011083"	"SLC6A7"	4955
"ENSG00000011105"	"TSPAN9"	11086
"ENSG00000011114"	"BTBD7"	16446
"ENSG00000011132"	"APBA3"	9754
"ENSG00000011143"	"MKS1"	28991
"ENSG00000011198"	"ABHD5"	19531
"ENSG00000011201"	"ANOS1"	7603
"ENSG00000011243"	"AKAP8L"	28021
"ENSG00000011258"	"MBTD1"	12820
"ENSG00000011260"	"UTP18"	4027
"ENSG00000011275"	"RNF216"	9892
"ENSG00000011295"	"TTC19"	12106
"ENSG00000011304"	"PTBP1"	22494
"ENSG00000011332"	"DPF1"	11062
"ENSG00000011347"	"SYT7"	12625
"ENSG00000011376"	"LARS2"	19161
"ENSG00000011405"	"PIK3C2A"	14581
"ENSG00000011422"	"PLAUR"	8371
"ENSG00000011426"	"ANLN"	9389
"ENSG00000011451"	"WIZ"	17467
"ENSG00000011454"	"RABGAP1"	9469
"ENSG00000011465"	"DCN"	18703
"ENSG00000011478"	"QPCTL"	9100
"ENSG00000011485"	"PPP5C"	16517
"ENSG00000011523"	"CEP68"	13638
"ENSG00000011566"	"MAP4K3"	10922
"ENSG00000011590"	"ZBTB32"	3196
"ENSG00000011600"	"TYROBP"	2383
"ENSG00000011638"	"TMEM159"	6997
"ENSG00000011677"	"GABRA3"	4683
"ENSG00000012048"	"BRCA1"	27690
"ENSG00000012061"	"ERCC1"	7854
"ENSG00000012124"	"CD22"	16834
"ENSG00000012171"	"SEMA3B"	16575
"ENSG00000012174"	"MBTPS2"	9441
"ENSG00000012211"	"PRICKLE3"	7058
"ENSG00000012223"	"LTF"	5230
"ENSG00000012232"	"EXTL3"	17406
"ENSG00000012504"	"NR1H4"	7951
"ENSG00000012660"	"ELOVL5"	6200
"ENSG00000012779"	"ALOX5"	5445
"ENSG00000012817"	"KDM5D"	15945
"ENSG00000012822"	"CALCOCO1"	15758
"ENSG00000012963"	"UBR7"	4913
"ENSG00000012983"	"MAP4K5"	12388
"ENSG00000013016"	"EHD3"	4819
"ENSG00000013275"	"PSMC4"	4180
"ENSG00000013288"	"MAN2B2"	11318
"ENSG00000013293"	"SLC7A14"	10603
"ENSG00000013297"	"CLDN11"	7726
"ENSG00000013306"	"SLC25A39"	10860
"ENSG00000013364"	"MVP"	10592
"ENSG00000013374"	"NUB1"	8668
"ENSG00000013375"	"PGM3"	16721
"ENSG00000013392"	"RWDD2A"	3766
"ENSG00000013441"	"CLK1"	11979
"ENSG00000013503"	"POLR3B"	5716
"ENSG00000013523"	"ANGEL1"	8589
"ENSG00000013561"	"RNF14"	10941
"ENSG00000013563"	"DNASE1L1"	11027
"ENSG00000013573"	"DDX11"	19630
"ENSG00000013583"	"HEBP1"	4449
"ENSG00000013588"	"GPRC5A"	12616
"ENSG00000013619"	"MAMLD1"	22982
"ENSG00000013725"	"CD6"	10643
"ENSG00000013810"	"TACC3"	15866
"ENSG00000014123"	"UFL1"	4663
"ENSG00000014138"	"POLA2"	8297
"ENSG00000014164"	"ZC3H3"	3802
"ENSG00000014216"	"CAPN1"	14957
"ENSG00000014257"	"ACPP"	6160
"ENSG00000014641"	"MDH1"	7284
"ENSG00000014824"	"SLC30A9"	8522
"ENSG00000014914"	"MTMR11"	8729
"ENSG00000014919"	"COX15"	7160
"ENSG00000015133"	"CCDC88C"	15948
"ENSG00000015153"	"YAF2"	16081
"ENSG00000015171"	"ZMYND11"	19085
"ENSG00000015285"	"WAS"	3986
"ENSG00000015413"	"DPEP1"	5825
"ENSG00000015475"	"BID"	9501
"ENSG00000015479"	"MATR3"	26142
"ENSG00000015520"	"NPC1L1"	6736
"ENSG00000015532"	"XYLT2"	8653
"ENSG00000015568"	"RGPD5"	18779
"ENSG00000015592"	"STMN4"	6413
"ENSG00000015676"	"NUDCD3"	15465
"ENSG00000016082"	"ISL1"	3124
"ENSG00000016391"	"CHDH"	8735
"ENSG00000016402"	"IL20RA"	6236
"ENSG00000016490"	"CLCA1"	3501
"ENSG00000016602"	"CLCA4"	3677
"ENSG00000016864"	"GLT8D1"	10296
"ENSG00000017260"	"ATP2C1"	13728
"ENSG00000017427"	"IGF1"	9216
"ENSG00000017483"	"SLC38A5"	6524
"ENSG00000017797"	"RALBP1"	9589
"ENSG00000018189"	"RUFY3"	13682
"ENSG00000018236"	"CNTN1"	11730
"ENSG00000018280"	"SLC11A1"	18355
"ENSG00000018408"	"WWTR1"	12007
"ENSG00000018510"	"AGPS"	40760
"ENSG00000018607"	"ZNF806"	7971
"ENSG00000018610"	"CXorf56"	3670
"ENSG00000018625"	"ATP1A2"	8183
"ENSG00000018699"	"TTC27"	4454
"ENSG00000018869"	"ZNF582"	6889
"ENSG00000019102"	"VSIG2"	1700
"ENSG00000019144"	"PHLDB1"	32609
"ENSG00000019169"	"MARCO"	2811
"ENSG00000019186"	"CYP24A1"	6279
"ENSG00000019485"	"PRDM11"	24789
"ENSG00000019505"	"SYT13"	6266
"ENSG00000019549"	"SNAI2"	5626
"ENSG00000019582"	"CD74"	10209
"ENSG00000019991"	"HGF"	13809
"ENSG00000019995"	"ZRANB1"	6141
"ENSG00000020129"	"NCDN"	8104
"ENSG00000020181"	"ADGRA2"	7834
"ENSG00000020219"	"CCT8L1P"	1673
"ENSG00000020256"	"ZFP64"	8172
"ENSG00000020426"	"MNAT1"	5923
"ENSG00000020577"	"SAMD4A"	26233
"ENSG00000020633"	"RUNX3"	7392
"ENSG00000020922"	"MRE11A"	9927
"ENSG00000021300"	"PLEKHB1"	9811
"ENSG00000021355"	"SERPINB1"	3429
"ENSG00000021461"	"CYP3A43"	4210
"ENSG00000021488"	"SLC7A9"	3950
"ENSG00000021574"	"SPAST"	25343
"ENSG00000021645"	"NRXN3"	38248
"ENSG00000021762"	"OSBPL5"	14971
"ENSG00000021776"	"AQR"	16483
"ENSG00000021826"	"CPS1"	15892
"ENSG00000021852"	"C8B"	3704
"ENSG00000022267"	"FHL1"	18812
"ENSG00000022277"	"RTFDC1"	7041
"ENSG00000022355"	"GABRA1"	31226
"ENSG00000022556"	"NLRP2"	10760
"ENSG00000022567"	"SLC45A4"	16572
"ENSG00000022840"	"RNF10"	12917
"ENSG00000022976"	"ZNF839"	9962
"ENSG00000023041"	"ZDHHC6"	22793
"ENSG00000023171"	"GRAMD1B"	29093
"ENSG00000023191"	"RNH1"	16562
"ENSG00000023228"	"NDUFS1"	15260
"ENSG00000023287"	"RB1CC1"	11846
"ENSG00000023318"	"ERP44"	30936
"ENSG00000023330"	"ALAS1"	4171
"ENSG00000023445"	"BIRC3"	14172
"ENSG00000023516"	"AKAP11"	9902
"ENSG00000023572"	"GLRX2"	7465
"ENSG00000023608"	"SNAPC1"	2583
"ENSG00000023697"	"DERA"	4529
"ENSG00000023734"	"STRAP"	4418
"ENSG00000023839"	"ABCC2"	10295
"ENSG00000023892"	"DEF6"	2879
"ENSG00000023902"	"PLEKHO1"	10934
"ENSG00000023909"	"GCLM"	8209
"ENSG00000024048"	"UBR2"	9160
"ENSG00000024422"	"EHD2"	6123
"ENSG00000024526"	"DEPDC1"	8524
"ENSG00000024862"	"CCDC28A"	1241
"ENSG00000025039"	"RRAGD"	8628
"ENSG00000025156"	"HSF2"	3071
"ENSG00000025293"	"PHF20"	10784
"ENSG00000025423"	"HSD17B6"	5072
"ENSG00000025434"	"NR1H3"	15092
"ENSG00000025708"	"TYMP"	9881
"ENSG00000025770"	"NCAPH2"	7283
"ENSG00000025772"	"TOMM34"	1966
"ENSG00000025796"	"SEC63"	11089
"ENSG00000025800"	"KPNA6"	10258
"ENSG00000026025"	"VIM"	9525
"ENSG00000026036"	"RTEL1-TNFRSF6B"	11060
"ENSG00000026103"	"FAS"	33267
"ENSG00000026297"	"RNASET2"	35406
"ENSG00000026508"	"CD44"	19935
"ENSG00000026559"	"KCNG1"	8159
"ENSG00000026652"	"AGPAT4"	21658
"ENSG00000026751"	"SLAMF7"	7520
"ENSG00000026950"	"BTN3A1"	12194
"ENSG00000027001"	"MIPEP"	3706
"ENSG00000027075"	"PRKCH"	12888
"ENSG00000027644"	"INSRR"	5178
"ENSG00000027697"	"IFNGR1"	5930
"ENSG00000027847"	"B4GALT7"	9409
"ENSG00000027869"	"SH2D2A"	3744
"ENSG00000028116"	"VRK2"	6910
"ENSG00000028137"	"TNFRSF1B"	6747
"ENSG00000028203"	"VEZT"	21091
"ENSG00000028277"	"POU2F2"	20664
"ENSG00000028310"	"BRD9"	14239
"ENSG00000028528"	"SNX1"	14863
"ENSG00000028839"	"TBPL1"	6621
"ENSG00000029153"	"ARNTL2"	13516
"ENSG00000029363"	"BCLAF1"	30259
"ENSG00000029364"	"SLC39A9"	19284
"ENSG00000029534"	"ANK1"	17795
"ENSG00000029559"	"IBSP"	1566
"ENSG00000029639"	"TFB1M"	5938
"ENSG00000029725"	"RABEP1"	8586
"ENSG00000029993"	"HMGB3"	4785
"ENSG00000030066"	"NUP160"	12051
"ENSG00000030110"	"BAK1"	3811
"ENSG00000030304"	"MUSK"	12078
"ENSG00000030419"	"IKZF2"	29747
"ENSG00000030582"	"GRN"	8780
"ENSG00000031003"	"FAM13B"	9199
"ENSG00000031081"	"ARHGAP31"	9405
"ENSG00000031691"	"CENPQ"	1732
"ENSG00000031698"	"SARS"	5701
"ENSG00000031823"	"RANBP3"	11865
"ENSG00000032219"	"ARID4A"	12976
"ENSG00000032389"	"TSSC1"	8475
"ENSG00000032444"	"PNPLA6"	12140
"ENSG00000032742"	"IFT88"	7827
"ENSG00000033011"	"ALG1"	22141
"ENSG00000033030"	"ZCCHC8"	18212
"ENSG00000033050"	"ABCF2"	5708
"ENSG00000033100"	"CHPF2"	17464
"ENSG00000033122"	"LRRC7"	40453
"ENSG00000033170"	"FUT8"	14835
"ENSG00000033178"	"UBA6"	12553
"ENSG00000033327"	"GAB2"	12307
"ENSG00000033627"	"ATP6V0A1"	22782
"ENSG00000033800"	"PIAS1"	13085
"ENSG00000033867"	"SLC4A7"	16744
"ENSG00000034053"	"APBA2"	11357
"ENSG00000034152"	"MAP2K3"	8636
"ENSG00000034239"	"EFCAB1"	7696
"ENSG00000034510"	"TMSB10"	458
"ENSG00000034533"	"ASTE1"	6051
"ENSG00000034677"	"RNF19A"	12581
"ENSG00000034693"	"PEX3"	3553
"ENSG00000034713"	"GABARAPL2"	4302
"ENSG00000034971"	"MYOC"	2247
"ENSG00000035115"	"SH3YL1"	23132
"ENSG00000035141"	"FAM136A"	6260
"ENSG00000035403"	"VCL"	15346
"ENSG00000035499"	"DEPDC1B"	4935
"ENSG00000035664"	"DAPK2"	18427
"ENSG00000035681"	"NSMAF"	10959
"ENSG00000035687"	"ADSS"	3737
"ENSG00000035720"	"STAP1"	2379
"ENSG00000035862"	"TIMP2"	9433
"ENSG00000035928"	"RFC1"	9162
"ENSG00000036054"	"TBC1D23"	9659
"ENSG00000036257"	"CUL3"	15751
"ENSG00000036448"	"MYOM2"	10154
"ENSG00000036473"	"OTC"	2215
"ENSG00000036530"	"CYP46A1"	11239
"ENSG00000036549"	"ZZZ3"	13784
"ENSG00000036565"	"SLC18A1"	6986
"ENSG00000036672"	"USP2"	6515
"ENSG00000036828"	"CASR"	20729
"ENSG00000037042"	"TUBG2"	3483
"ENSG00000037241"	"RPL26L1"	2455
"ENSG00000037280"	"FLT4"	11836
"ENSG00000037474"	"NSUN2"	10619
"ENSG00000037637"	"FBXO42"	10174
"ENSG00000037749"	"MFAP3"	27399
"ENSG00000037757"	"MRI1"	5041
"ENSG00000037897"	"METTL1"	4714
"ENSG00000037965"	"HOXC8"	2415
"ENSG00000038002"	"AGA"	3544
"ENSG00000038210"	"PI4K2B"	3966
"ENSG00000038219"	"BOD1L1"	17590
"ENSG00000038274"	"MAT2B"	11734
"ENSG00000038295"	"TLL1"	10889
"ENSG00000038358"	"EDC4"	12022
"ENSG00000038382"	"TRIO"	27602
"ENSG00000038427"	"VCAN"	29848
"ENSG00000038532"	"CLEC16A"	18627
"ENSG00000038945"	"MSR1"	11737
"ENSG00000039068"	"CDH1"	9991
"ENSG00000039123"	"SKIV2L2"	8113
"ENSG00000039139"	"DNAH5"	35493
"ENSG00000039319"	"ZFYVE16"	25899
"ENSG00000039523"	"FAM65A"	12784
"ENSG00000039537"	"C6"	6462
"ENSG00000039560"	"RAI14"	14011
"ENSG00000039600"	"SOX30"	5280
"ENSG00000039650"	"PNKP"	10704
"ENSG00000039987"	"BEST2"	4624
"ENSG00000040199"	"PHLPP2"	20993
"ENSG00000040275"	"SPDL1"	8308
"ENSG00000040341"	"STAU2"	22264
"ENSG00000040487"	"PQLC2"	4105
"ENSG00000040531"	"CTNS"	11253
"ENSG00000040608"	"RTN4R"	5675
"ENSG00000040633"	"PHF23"	8913
"ENSG00000040731"	"CDH10"	6374
"ENSG00000040933"	"INPP4A"	25476
"ENSG00000041353"	"RAB27B"	7801
"ENSG00000041357"	"PSMA4"	15100
"ENSG00000041515"	"MYO16"	10592
"ENSG00000041802"	"LSG1"	6538
"ENSG00000041880"	"PARP3"	7648
"ENSG00000041982"	"TNC"	16526
"ENSG00000041988"	"THAP3"	6868
"ENSG00000042062"	"FAM65C"	8594
"ENSG00000042088"	"TDP1"	12377
"ENSG00000042286"	"AIFM2"	8040
"ENSG00000042304"	"C2orf83"	5440
"ENSG00000042317"	"SPATA7"	14630
"ENSG00000042429"	"MED17"	35197
"ENSG00000042445"	"RETSAT"	8061
"ENSG00000042493"	"CAPG"	4852
"ENSG00000042753"	"AP2S1"	3678
"ENSG00000042781"	"USH2A"	21487
"ENSG00000042813"	"ZPBP"	3260
"ENSG00000042832"	"TG"	14728
"ENSG00000042980"	"ADAM28"	11723
"ENSG00000043039"	"BARX2"	4048
"ENSG00000043093"	"DCUN1D1"	12909
"ENSG00000043143"	"JADE2"	27596
"ENSG00000043355"	"ZIC2"	3984
"ENSG00000043462"	"LCP2"	10450
"ENSG00000043514"	"TRIT1"	11558
"ENSG00000043591"	"ADRB1"	3038
"ENSG00000044012"	"GUCA2B"	601
"ENSG00000044090"	"CUL7"	17888
"ENSG00000044115"	"CTNNA1"	20933
"ENSG00000044446"	"PHKA2"	11264
"ENSG00000044459"	"CNTLN"	11818
"ENSG00000044524"	"EPHA3"	7376
"ENSG00000044574"	"HSPA5"	21726
"ENSG00000046604"	"DSG2"	11410
"ENSG00000046647"	"GEMIN8"	8510
"ENSG00000046651"	"OFD1"	27188
"ENSG00000046653"	"GPM6B"	10034
"ENSG00000046774"	"MAGEC2"	1991
"ENSG00000046889"	"PREX2"	12582
"ENSG00000047056"	"WDR37"	13155
"ENSG00000047188"	"YTHDC2"	14891
"ENSG00000047230"	"CTPS2"	9139
"ENSG00000047249"	"ATP6V1H"	9767
"ENSG00000047315"	"POLR2B"	8178
"ENSG00000047346"	"FAM214A"	13912
"ENSG00000047365"	"ARAP2"	14257
"ENSG00000047410"	"TPR"	14566
"ENSG00000047457"	"CP"	12469
"ENSG00000047578"	"KIAA0556"	11281
"ENSG00000047579"	"DTNBP1"	7474
"ENSG00000047597"	"XK"	5171
"ENSG00000047617"	"ANO2"	8750
"ENSG00000047621"	"C12orf4"	6560
"ENSG00000047634"	"SCML1"	8731
"ENSG00000047644"	"WWC3"	7454
"ENSG00000047648"	"ARHGAP6"	16636
"ENSG00000047662"	"FAM184B"	6713
"ENSG00000047849"	"MAP4"	31444
"ENSG00000047932"	"GOPC"	8762
"ENSG00000047936"	"ROS1"	10056
"ENSG00000048028"	"USP28"	11223
"ENSG00000048052"	"HDAC9"	34191
"ENSG00000048140"	"TSPAN17"	12449
"ENSG00000048162"	"NOP16"	5762
